,word,wordcount_before,percentage_before,wordcount_onafter,percentage_onafter,wordcount_difference,percentage_difference
780,shaped,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
781,emulsion,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
782,clock,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
783,fur,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
784,brushed,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
785,presentation,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
786,game,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
787,beans,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
788,hotel,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
789,hemp,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
790,e,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
791,sepiatoned,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
792,joined,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
793,canvases,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
794,clay,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
795,epoxycoated,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
796,camera,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
797,hard,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
798,name,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
799,padded,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
800,french,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
801,flocked,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
802,museum,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
803,shopping,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
804,sprayed,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
805,new,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
806,hinges,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
807,grommets,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
808,spun,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
809,mat,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
810,plus,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
811,waxed,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
812,richard,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
813,pamphlet,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
814,crumpled,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
815,coating,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
816,elastic,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
817,neon,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
818,loose,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
819,bfk,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
820,blank,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
821,tan,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
822,elements,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
823,capsules,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
824,portrait,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
825,inset,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
826,rice,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
827,published,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
828,milk,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
829,j,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
830,wiping,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
831,sides,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
832,paper\r\nd,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
833,unstretched,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
834,collograph,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
835,partially,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
836,tacks,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
837,tiles,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
838,fixtures,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
839,tip,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
840,wilhelm,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
841,paris,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
842,polycarbonate,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
843,positive,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
844,stationery,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
845,injectionmolded,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
846,gunpowder,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
847,papiermâché,6,1.6784860056229282e-05,5,3.375071720274056e-05,-1,101.07833541462759
848,gauze,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
849,numbers,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
850,floor,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
851,electrical,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
852,chipboard,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
853,viewer,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
854,perspex,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
855,tappert,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
856,right,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
857,l,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
858,pebbles,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
859,basalt,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
860,spiralbound,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
861,polyvinyl,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
862,paper\r\n\r\n,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
863,grease,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
864,body,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
865,violin,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
866,erich,6,1.6784860056229282e-05,4,2.7000573762192447e-05,-2,60.86266833170204
867,spine,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
868,rolled,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
869,disc,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
870,instructions,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
871,pill,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
872,left,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
873,diptych,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
874,cigarette,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
875,lightbulbs,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
876,page\r\n,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
877,sugar,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
878,logo,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
879,watch,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
880,eyes,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
881,miniature,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
882,razor,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
883,towel,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
884,solander,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
885,anger,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
886,poem,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
887,commercial,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
888,folding,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
889,rubbing,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
890,blackboard,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
891,clipped,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
892,brochure,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
893,layered,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
894,used,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
895,sack,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
896,figures,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
897,together,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
898,figure,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
899,hat,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
