,word,wordcount,percentage
2397,separation,61,0.00017064607723833104
562,string,60,0.0001678486005622928
1521,thirtyfour,58,0.0001622536472102164
286,ceramic,58,0.0001622536472102164
1062,blind,58,0.0001622536472102164
373,thread,57,0.00015945617053417818
1220,score,57,0.00015945617053417818
998,volume,57,0.00015945617053417818
303,lacquered,57,0.00015945617053417818
53,polyester,56,0.00015665869385813995
248,\r\n,56,0.00015665869385813995
137,gray,56,0.00015665869385813995
1541,fiftytwo,56,0.00015665869385813995
653,newsprint,55,0.00015386121718210174
261,casing,55,0.00015386121718210174
1790,casein,55,0.00015386121718210174
1091,etched,54,0.00015106374050606353
2011,bichromate,54,0.00015106374050606353
244,base,54,0.00015106374050606353
1758,stapled,54,0.00015106374050606353
2335,mimeograph,54,0.00015106374050606353
1007,cream,54,0.00015106374050606353
285,birch,53,0.00014826626383002532
1008,brush,53,0.00014826626383002532
36,ozalid,53,0.00014826626383002532
898,embossed,52,0.00014546878715398712
2047,polaroid,52,0.00014546878715398712
300,earthenware,51,0.00014267131047794888
328,rod,51,0.00014267131047794888
207,sand,51,0.00014267131047794888
198,wooden,51,0.00014267131047794888
1780,wax,51,0.00014267131047794888
1811,applied,50,0.00013987383380191067
772,mylar,50,0.00013987383380191067
2097,process,50,0.00013987383380191067
2103,selkirk,50,0.00013987383380191067
2102,neil,50,0.00013987383380191067
1056,torn,49,0.00013707635712587247
893,lithographic,49,0.00013707635712587247
2171,photoetching,49,0.00013707635712587247
273,rayon,49,0.00013707635712587247
1019,cover\r\n,48,0.00013427888044983426
224,oak,48,0.00013427888044983426
1059,fortysix,48,0.00013427888044983426
382,cellophane,48,0.00013427888044983426
1513,fortytwo,48,0.00013427888044983426
1502,bound,48,0.00013427888044983426
711,lead,47,0.00013148140377379603
358,crystal,47,0.00013148140377379603
1215,lined,47,0.00013148140377379603
1819,cardstock,47,0.00013148140377379603
2013,daguerreotype,46,0.00012868392709775782
383,marble,46,0.00012868392709775782
307,lacquer,46,0.00012868392709775782
100,felt,46,0.00012868392709775782
1123,mirror,45,0.0001258864504217196
876,correction,45,0.0001258864504217196
3474,mailed,45,0.0001258864504217196
997,frottage,45,0.0001258864504217196
958,forty,45,0.0001258864504217196
726,light,45,0.0001258864504217196
3103,fluid,44,0.0001230889737456814
1200,bag,44,0.0001230889737456814
1589,mezzotint,44,0.0001230889737456814
983,varnish,44,0.0001230889737456814
458,perforated,44,0.0001230889737456814
3260,tom,43,0.00012029149706964318
3261,consilvio,43,0.00012029149706964318
767,magnetic,43,0.00012029149706964318
1893,typewritten,43,0.00012029149706964318
1965,nail,42,0.00011749402039360497
1768,thirtysix,42,0.00011749402039360497
960,twentythree,42,0.00011749402039360497
62,foil,42,0.00011749402039360497
625,ball,42,0.00011749402039360497
1219,musical,42,0.00011749402039360497
990,xerox,42,0.00011749402039360497
1825,solvent,42,0.00011749402039360497
2074,bleach,42,0.00011749402039360497
1195,catalogue,42,0.00011749402039360497
1837,spray,41,0.00011469654371756675
2035,dow,41,0.00011469654371756675
52,fiberglass,41,0.00011469654371756675
2162,bottle,41,0.00011469654371756675
1331,dyebased,41,0.00011469654371756675
1794,gesso,40,0.00011189906704152855
1782,photoengraving,40,0.00011189906704152855
1505,glitter,40,0.00011189906704152855
2034,james,40,0.00011189906704152855
1027,tailpieces,40,0.00011189906704152855
3262,animation,40,0.00011189906704152855
2165,colorincolor,39,0.00010910159036549032
1087,works,39,0.00010910159036549032
1405,additional,39,0.00010910159036549032
1847,blueprint,39,0.00010910159036549032
192,letter,38,0.00010630411368945212
2007,berenice,38,0.00010630411368945212
952,laid,38,0.00010630411368945212
387,alloy,38,0.00010630411368945212
525,unknown,38,0.00010630411368945212
2008,abbott,38,0.00010630411368945212
913,background,38,0.00010630411368945212
903,magazine,38,0.00010630411368945212
2064,machine,37,0.0001035066370134139
1283,cm,37,0.0001035066370134139
991,ornamental,37,0.0001035066370134139
3453,reel,37,0.0001035066370134139
1879,colorcoated,37,0.0001035066370134139
982,andor,37,0.0001035066370134139
1016,engraved,36,0.00010070916033737569
1806,pigment,36,0.00010070916033737569
1905,pinned,36,0.00010070916033737569
1103,frontispiece,36,0.00010070916033737569
227,stoneware,36,0.00010070916033737569
844,zincograph,36,0.00010070916033737569
37,drafting,35,9.791168366133747e-05
2201,sticker,35,9.791168366133747e-05
2221,sleeve,35,9.791168366133747e-05
2072,photogram,35,9.791168366133747e-05
234,mahogany,35,9.791168366133747e-05
97,veneer,35,9.791168366133747e-05
1248,b,35,9.791168366133747e-05
739,screen,35,9.791168366133747e-05
229,pressed,35,9.791168366133747e-05
849,linocut,34,9.511420698529926e-05
1070,leaf,34,9.511420698529926e-05
139,masking,34,9.511420698529926e-05
2958,cassette,34,9.511420698529926e-05
301,jute,34,9.511420698529926e-05
928,tissue,34,9.511420698529926e-05
829,strip,34,9.511420698529926e-05
125,cutout,33,9.231673030926105e-05
2030,goldtoned,33,9.231673030926105e-05
1006,unbound,33,9.231673030926105e-05
